path,annotation
/mnt/d/IMDA_TIL/audio_part3/3000-1117.wav,IVE NEVER GONE THROUGH IT BUT ITS ACTUALLY LOSING A LOVED ONE
/mnt/d/IMDA_TIL/audio_part3/3000-113.wav,THATS A LOUSY ANSWER IM GONNA GIVE YOU ZERO POINTS
/mnt/d/IMDA_TIL/audio_part3/3000-1150.wav,THIS IS A FUNNY QUESTION LETS GO TO NEXT ONE
/mnt/d/IMDA_TIL/audio_part3/3000-1161.wav,IF YOU COULD TEACH SINGAPOREAN STUDENTS ONE LESSON WHAT WOULD IT BE
/mnt/d/IMDA_TIL/audio_part3/3000-1192.wav,THEY FEEL LONELY BASICALLY THATS THE ISSUE
/mnt/d/IMDA_TIL/audio_part3/3000-1210.wav,PIONEERING GENERATION WHAT CAN YOU DO TO HELP THE ELDERLY POOR
/mnt/d/IMDA_TIL/audio_part3/3000-1211.wav,YOU KNOW YOU KNOW THROUGH THIS CONVERSATION THAT I HAVE WITH YOU I I REALIZED ONE THING
/mnt/d/IMDA_TIL/audio_part3/3000-122.wav,THE TWENTY CENT ONE THAT WE HAVE IN PRIMARY SECONDARY SCHOOL
/mnt/d/IMDA_TIL/audio_part3/3000-1234.wav,VOTE JEREMY TWO ZERO ONE NINE
/mnt/d/IMDA_TIL/audio_part3/3000-1247.wav,HOW DO YOU HOW DOES ONE ACHIEVE FULFILLMENT IN THEIR LIFE
/mnt/d/IMDA_TIL/audio_part3/3000-1248.wav,WHERE IS THE THE END TO THE GREATER HEIGHT
/mnt/d/IMDA_TIL/audio_part3/3000-1254.wav,YEAH YOU KNOW I WAS PRIMARY FIVE YOU KNOW ABOUT THAT PERIOD SO ITS A LITTLE EMBARRASSING BUT YOU KNOW
/mnt/d/IMDA_TIL/audio_part3/3000-1264.wav,SO YOU KNOW THERE ARE SIX NEEDS THAT PEOPLE HAVE
/mnt/d/IMDA_TIL/audio_part3/3000-1267.wav,IS SIGNIFICANCE THE NEED TO FEEL IMPORTANT THE FOURTH NEED
/mnt/d/IMDA_TIL/audio_part3/3000-1273.wav,THESE SIX NEEDS ARE IN EVERYBODY ITS ONLY UNK
