file_name,annotation
audio_part3/3000-1117.wav,IVE NEVER GONE THROUGH IT BUT ITS ACTUALLY LOSING A LOVED ONE
audio_part3/3000-113.wav,THATS A LOUSY ANSWER IM GONNA GIVE YOU ZERO POINTS
audio_part3/3000-1150.wav,THIS IS A FUNNY QUESTION LETS GO TO NEXT ONE
audio_part3/3000-1161.wav,IF YOU COULD TEACH SINGAPOREAN STUDENTS ONE LESSON WHAT WOULD IT BE
audio_part3/3000-1192.wav,THEY FEEL LONELY BASICALLY THATS THE ISSUE
audio_part3/3000-1210.wav,PIONEERING GENERATION WHAT CAN YOU DO TO HELP THE ELDERLY POOR
audio_part3/3000-1211.wav,YOU KNOW YOU KNOW THROUGH THIS CONVERSATION THAT I HAVE WITH YOU I I REALIZED ONE THING
audio_part3/3000-122.wav,THE TWENTY CENT ONE THAT WE HAVE IN PRIMARY SECONDARY SCHOOL
audio_part3/3000-1234.wav,VOTE JEREMY TWO ZERO ONE NINE
audio_part3/3000-1247.wav,HOW DO YOU HOW DOES ONE ACHIEVE FULFILLMENT IN THEIR LIFE
audio_part3/3000-1248.wav,WHERE IS THE THE END TO THE GREATER HEIGHT
audio_part3/3000-1254.wav,YEAH YOU KNOW I WAS PRIMARY FIVE YOU KNOW ABOUT THAT PERIOD SO ITS A LITTLE EMBARRASSING BUT YOU KNOW
audio_part3/3000-1264.wav,SO YOU KNOW THERE ARE SIX NEEDS THAT PEOPLE HAVE
audio_part3/3000-1267.wav,IS SIGNIFICANCE THE NEED TO FEEL IMPORTANT THE FOURTH NEED
audio_part3/3000-1273.wav,THESE SIX NEEDS ARE IN EVERYBODY ITS ONLY UNK
audio_part3/3000-1284.wav,PPO SO WOULD YOU LIKE TO MAKE A GUESS OUT OF THE SIX NEEDS WHICH TWO OR THREE
audio_part3/3000-1285.wav,WOULD YOU LIKE TO MAKE A GUESS WHICH TOP TWO OR THREE
audio_part3/3000-1290.wav,FOR THOSE WHO TEND TO BE A LITTLE BIT MORE
audio_part3/3000-1308.wav,YA SO I THINK ITS A REALLY GOOD ITS OKAY ITS DONE PPL
audio_part3/3000-134.wav,SAY WHAT ABOUT SEVENTH MONTH WHAT THE WHAT BELIEF
audio_part3/3000-146.wav,NO OKAY SO YOU HAVE MENTIONED DIFFERENCE SO LETS TALK ABOUT SIMILARITY NOW
audio_part3/3000-147.wav,NO NO SO YOUVE MENTIONED THE DIFFERENCE ONE BIGGEST DIFFERENCE SO I WOULD LIKE TO KNOW WHATS THE ONE BIGGEST
audio_part3/3000-153.wav,WHATS THE ONE THING ABOUT SINGAPORE THAT SHOULD BE PRESERVED FOR THE NEXT GENERATION
