file_path,result
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c0s1_1_1.png,0.42528933
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c0s1_1_2.png,0.9464762
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c0s1_1_3.png,0.9252167
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1000s1_1_1.png,0.9137534
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1000s1_1_2.png,0.9504567
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1000s1_1_3.png,0.7311382
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1001s1_1_1.png,0.949987
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1002s1_1_1.png,0.90778553
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1002s1_1_2.png,0.7082
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1003s1_1_1.png,0.94339955
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1003s1_1_2.png,0.96227515
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1004s1_1_1.png,0.7701261
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1005s1_1_1.png,0.89939964
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1005s1_1_2.png,0.8893184
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1005s1_1_3.png,0.97286403
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1006s1_1_1.png,0.8440883
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1007s1_1_1.png,0.948673
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1007s1_1_2.png,0.9277375
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1007s1_1_3.png,0.66173136
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1008s1_1_1.png,0.92452484
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1008s1_1_2.png,0.8628446
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1009s1_1_1.png,0.7011271
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1009s1_1_2.png,0.9106495
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c100s1_1_1.png,0.8783734
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c100s1_1_2.png,0.13615426
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1010s1_1_1.png,0.9606918
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1010s1_1_2.png,0.9367795
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1010s1_1_3.png,0.8370688
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1011s1_1_1.png,0.89512056
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1011s1_1_2.png,0.74125654
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1011s1_1_3.png,0.8559227
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1012s1_1_1.png,0.8696666
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1012s1_1_2.png,0.9528964
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1013s1_1_1.png,0.9631237
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1014s1_1_1.png,0.9332802
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1014s1_1_2.png,0.95418435
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1014s1_1_3.png,0.3020116
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1015s1_1_1.png,0.7922001
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1015s1_1_2.png,0.9230334
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1016s1_1_1.png,0.7739671
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1016s1_1_2.png,0.82454544
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1017s1_1_1.png,0.9608767
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1017s1_1_2.png,0.7159533
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1018s1_1_1.png,0.93615294
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1018s1_1_2.png,0.6702646
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1018s1_1_3.png,0.9624125
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1019s1_1_1.png,0.96977985
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1019s1_1_2.png,0.8482712
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1019s1_1_3.png,0.77599
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c101s1_1_1.png,0.89219743
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1020s1_1_1.png,0.9129486
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1020s1_1_2.png,0.71831423
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1021s1_1_1.png,0.7172346
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1022s1_1_1.png,0.8470653
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1022s1_1_2.png,0.90346175
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1022s1_1_3.png,0.9250628
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1023s1_1_1.png,0.9505782
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1023s1_1_2.png,0.95358473
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1024s1_1_1.png,0.9183073
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1024s1_1_2.png,0.96752304
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1024s1_1_3.png,0.96685123
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1025s1_1_1.png,0.94362855
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1025s1_1_2.png,0.9398383
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1026s1_1_1.png,0.79897076
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1026s1_1_2.png,0.9178963
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1026s1_1_3.png,0.9538712
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1027s1_1_1.png,0.53995585
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1028s1_1_1.png,0.9378246
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1028s1_1_2.png,0.8602821
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1028s1_1_3.png,0.6659319
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1029s1_1_1.png,0.9423329
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1029s1_1_2.png,0.9214157
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1029s1_1_3.png,0.93608195
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c102s1_1_1.png,0.83782166
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1030s1_1_1.png,0.9402449
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1030s1_1_2.png,0.451011
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1031s1_1_1.png,0.68059707
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1031s1_1_2.png,0.9434357
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1032s1_1_1.png,0.97089624
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1032s1_1_2.png,0.9815104
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1033s1_1_1.png,0.66058344
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1033s1_1_2.png,0.96797526
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1034s1_1_1.png,0.92238224
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1034s1_1_2.png,0.68119127
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1034s1_1_3.png,0.955744
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1035s1_1_1.png,0.9313885
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1035s1_1_2.png,0.9722084
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1036s1_1_1.png,0.9041107
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1036s1_1_2.png,0.91987514
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1036s1_1_3.png,0.9719014
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1037s1_1_1.png,0.46264166
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1037s1_1_2.png,0.9178407
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1038s1_1_1.png,0.2202267
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1039s1_1_1.png,0.7589252
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c103s1_1_1.png,0.60021394
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1040s1_1_1.png,0.9365541
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1040s1_1_2.png,0.23204616
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1040s1_1_3.png,0.9552404
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1041s1_1_1.png,0.910104
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1041s1_1_2.png,0.94652516
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1042s1_1_1.png,0.90447766
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1042s1_1_2.png,0.94080484
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1042s1_1_3.png,0.94545484
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1043s1_1_1.png,0.75790864
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1044s1_1_1.png,0.94134355
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1044s1_1_2.png,0.9251268
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1044s1_1_3.png,0.8285566
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1045s1_1_1.png,0.8668376
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1045s1_1_2.png,0.85546184
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1045s1_1_3.png,0.95949733
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1046s1_1_1.png,0.9401977
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1046s1_1_2.png,0.97363317
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1047s1_1_1.png,0.9447181
