file_path,result
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c0s1_1_1.png,0.27402544
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c0s1_1_2.png,0.94008815
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c0s1_1_3.png,0.89187884
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1000s1_1_1.png,0.8658854
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1000s1_1_2.png,0.9026354
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1000s1_1_3.png,0.89124024
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1001s1_1_1.png,0.92810005
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1002s1_1_1.png,0.90536904
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1002s1_1_2.png,0.58020514
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1003s1_1_1.png,0.9038905
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1003s1_1_2.png,0.9021521
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1004s1_1_1.png,0.9326664
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1005s1_1_1.png,0.9557623
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1005s1_1_2.png,0.9012433
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1005s1_1_3.png,0.91306114
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1006s1_1_1.png,0.8980119
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1007s1_1_1.png,0.8617265
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1007s1_1_2.png,0.89856434
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1007s1_1_3.png,0.8307729
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1008s1_1_1.png,0.9439652
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1008s1_1_2.png,0.8872986
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1009s1_1_1.png,0.7138722
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1009s1_1_2.png,0.9638994
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c100s1_1_1.png,0.92222023
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c100s1_1_2.png,0.8671327
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1010s1_1_1.png,0.94101125
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1010s1_1_2.png,0.9284485
