file_path,result
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c0s1_1_1.png,0.6002007
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c0s1_1_2.png,0.94797254
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c0s1_1_3.png,0.8935752
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1000s1_1_1.png,0.8665076
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1000s1_1_2.png,0.65970653
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1000s1_1_3.png,0.95180726
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1001s1_1_1.png,0.8893462
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1002s1_1_1.png,0.39127162
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1002s1_1_2.png,0.8589618
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1003s1_1_1.png,0.8912617
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1003s1_1_2.png,0.89166504
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1004s1_1_1.png,0.8579192
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1005s1_1_1.png,0.84411114
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1005s1_1_2.png,0.8699646
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1005s1_1_3.png,0.88061976
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1006s1_1_1.png,0.86520696
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1007s1_1_1.png,0.85908926
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1007s1_1_2.png,0.8409332
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1007s1_1_3.png,0.8598868
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1008s1_1_1.png,0.8521559
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1008s1_1_2.png,0.86654633
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1009s1_1_1.png,0.73179716
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1009s1_1_2.png,0.92556787
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c100s1_1_1.png,0.8299756
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c100s1_1_2.png,0.80032235
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1010s1_1_1.png,0.9478221
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1010s1_1_2.png,0.9279292
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1010s1_1_3.png,0.83767
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1011s1_1_1.png,0.8636474
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1011s1_1_2.png,0.87609994
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1011s1_1_3.png,0.68274975
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1012s1_1_1.png,0.88115776
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1012s1_1_2.png,0.85435057
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1013s1_1_1.png,0.86222005
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1014s1_1_1.png,0.9451412
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1014s1_1_2.png,0.9307847
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1014s1_1_3.png,0.30806014
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1015s1_1_1.png,0.85910666
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1015s1_1_2.png,0.86953926
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1016s1_1_1.png,0.7810537
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1016s1_1_2.png,0.78875154
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1017s1_1_1.png,0.46642825
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1017s1_1_2.png,0.91496265
