file_path,result
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c0s1_1_1.png,0.31496444
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c0s1_1_2.png,0.9352769
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c0s1_1_3.png,0.9098238
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1000s1_1_1.png,0.86591697
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1000s1_1_2.png,0.8943518
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1000s1_1_3.png,0.89255196
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1001s1_1_1.png,0.9066233
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1002s1_1_1.png,0.9015872
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1002s1_1_2.png,0.6377425
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1003s1_1_1.png,0.9131658
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1003s1_1_2.png,0.92022115
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1004s1_1_1.png,0.92995936
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1005s1_1_1.png,0.9248903
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1005s1_1_2.png,0.8781097
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1005s1_1_3.png,0.8870764
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1006s1_1_1.png,0.8935139
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1007s1_1_1.png,0.8574171
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1007s1_1_2.png,0.8567699
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1007s1_1_3.png,0.82711303
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1008s1_1_1.png,0.91487676
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1008s1_1_2.png,0.87788004
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1009s1_1_1.png,0.6632958
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1009s1_1_2.png,0.95461196
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c100s1_1_1.png,0.91082716
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c100s1_1_2.png,0.8536167
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1010s1_1_1.png,0.9399131
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1010s1_1_2.png,0.9172713
../RT-DETR/dataset/reid_rotation_expansion_awb/test_old\bounding_box_test\-1_c1010s1_1_3.png,0.8173365
