file_path,result
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c0s1_1_1.png,0.5808934
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c0s1_1_2.png,0.951681
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c0s1_1_3.png,0.9711343
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1000s1_1_1.png,0.9529928
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1000s1_1_2.png,0.93823695
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1000s1_1_3.png,0.5595617
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1001s1_1_1.png,0.8567902
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1002s1_1_1.png,0.9206084
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1002s1_1_2.png,0.5941138
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1003s1_1_1.png,0.8962735
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1003s1_1_2.png,0.9173708
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1004s1_1_1.png,0.8866873
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1005s1_1_1.png,0.91782933
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1005s1_1_2.png,0.91131544
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1005s1_1_3.png,0.9226204
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1006s1_1_1.png,0.90925485
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1007s1_1_1.png,0.8899525
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1007s1_1_2.png,0.91051364
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1007s1_1_3.png,0.8767053
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1008s1_1_1.png,0.9189138
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1008s1_1_2.png,0.88423586
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1009s1_1_1.png,0.81908154
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1009s1_1_2.png,0.92302203
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c100s1_1_1.png,0.87257725
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c100s1_1_2.png,0.546321
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1010s1_1_1.png,0.94180405
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1010s1_1_2.png,0.9404132
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1010s1_1_3.png,0.8785473
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1011s1_1_1.png,0.82899356
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1011s1_1_2.png,0.7050011
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1011s1_1_3.png,0.85815644
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1012s1_1_1.png,0.9084753
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1012s1_1_2.png,0.9029211
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1013s1_1_1.png,0.8722469
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1014s1_1_1.png,0.94963014
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1014s1_1_2.png,0.9614861
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1014s1_1_3.png,0.43622455
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1015s1_1_1.png,0.8743886
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1015s1_1_2.png,0.9387292
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1016s1_1_1.png,0.78136474
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1016s1_1_2.png,0.77972937
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1017s1_1_1.png,0.9606844
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1017s1_1_2.png,0.66766185
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1018s1_1_1.png,0.9462035
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1018s1_1_2.png,0.67151314
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1018s1_1_3.png,0.98321605
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1019s1_1_1.png,0.93895745
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1019s1_1_2.png,0.87753636
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1019s1_1_3.png,0.6382265
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c101s1_1_1.png,0.82686543
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1020s1_1_1.png,0.8864227
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1020s1_1_2.png,0.8357656
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1021s1_1_1.png,0.5103973
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1022s1_1_1.png,0.7198106
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1022s1_1_2.png,0.856242
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1022s1_1_3.png,0.8596811
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1023s1_1_1.png,0.96121204
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1023s1_1_2.png,0.9113895
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1024s1_1_1.png,0.8879328
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1024s1_1_2.png,0.9240004
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1024s1_1_3.png,0.9430782
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1025s1_1_1.png,0.9483709
