file_path,result
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c0s1_1_1.png,0.69032365
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c0s1_1_2.png,0.95108604
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c0s1_1_3.png,0.93175936
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1000s1_1_1.png,0.9127431
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1000s1_1_2.png,0.6640905
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1000s1_1_3.png,0.96161544
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1001s1_1_1.png,0.9394985
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1002s1_1_1.png,0.6564309
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1002s1_1_2.png,0.90503615
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1003s1_1_1.png,0.85982263
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1003s1_1_2.png,0.8967768
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1004s1_1_1.png,0.82534707
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1005s1_1_1.png,0.8699827
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1005s1_1_2.png,0.94668126
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1005s1_1_3.png,0.8921064
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1006s1_1_1.png,0.84195364
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1007s1_1_1.png,0.8725854
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1007s1_1_2.png,0.6870729
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1007s1_1_3.png,0.9140956
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1008s1_1_1.png,0.89742136
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1008s1_1_2.png,0.8994864
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1009s1_1_1.png,0.8279269
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1009s1_1_2.png,0.90382767
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c100s1_1_1.png,0.85861665
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c100s1_1_2.png,0.68589485
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1010s1_1_1.png,0.9762059
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1010s1_1_2.png,0.9585649
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1010s1_1_3.png,0.8401594
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1011s1_1_1.png,0.8930843
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1011s1_1_2.png,0.8401082
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1011s1_1_3.png,0.7514902
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1012s1_1_1.png,0.91388047
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1012s1_1_2.png,0.84444314
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1013s1_1_1.png,0.8939398
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1014s1_1_1.png,0.9455224
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1014s1_1_2.png,0.91960466
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1014s1_1_3.png,0.38229004
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1015s1_1_1.png,0.8233994
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1015s1_1_2.png,0.92394465
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1016s1_1_1.png,0.80492526
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1016s1_1_2.png,0.8018787
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1017s1_1_1.png,0.7565581
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1017s1_1_2.png,0.92172545
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1018s1_1_1.png,0.98186785
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1018s1_1_2.png,0.7281211
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1018s1_1_3.png,0.94273853
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1019s1_1_1.png,0.8757993
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1019s1_1_2.png,0.54309607
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1019s1_1_3.png,0.9478222
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c101s1_1_1.png,0.8809305
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1020s1_1_1.png,0.8607728
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1020s1_1_2.png,0.83909714
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1021s1_1_1.png,0.53904885
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1022s1_1_1.png,0.88442904
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1022s1_1_2.png,0.8682095
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1022s1_1_3.png,0.7000629
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1023s1_1_1.png,0.9337932
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1023s1_1_2.png,0.9474845
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1024s1_1_1.png,0.8804618
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1024s1_1_2.png,0.94008714
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1024s1_1_3.png,0.94925565
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1025s1_1_1.png,0.91833496
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1025s1_1_2.png,0.9566852
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1026s1_1_1.png,0.9072313
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1026s1_1_2.png,0.8081221
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1026s1_1_3.png,0.96727026
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1027s1_1_1.png,0.7592591
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1028s1_1_1.png,0.9247948
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1028s1_1_2.png,0.91267544
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1028s1_1_3.png,0.73898846
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1029s1_1_1.png,0.90151405
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1029s1_1_2.png,0.9244102
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1029s1_1_3.png,0.92166245
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c102s1_1_1.png,0.9040428
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1030s1_1_1.png,0.8722129
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1030s1_1_2.png,0.9015176
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1031s1_1_1.png,0.8517388
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1031s1_1_2.png,0.9031139
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1032s1_1_1.png,0.9472486
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1032s1_1_2.png,0.95266974
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1033s1_1_1.png,0.85842264
