file_path,result
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c0s1_1_1.png,0.56479806
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c0s1_1_2.png,0.93586993
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c0s1_1_3.png,0.91111934
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1000s1_1_1.png,0.90901107
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1000s1_1_2.png,0.75884676
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1000s1_1_3.png,0.9693661
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1001s1_1_1.png,0.8755623
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1002s1_1_1.png,0.6406054
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1002s1_1_2.png,0.87955505
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1003s1_1_1.png,0.868716
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1003s1_1_2.png,0.90210396
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1004s1_1_1.png,0.8509859
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1005s1_1_1.png,0.8806752
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1005s1_1_2.png,0.93914974
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1005s1_1_3.png,0.9066882
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1006s1_1_1.png,0.8368516
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1007s1_1_1.png,0.90135527
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1007s1_1_2.png,0.79154265
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1007s1_1_3.png,0.9506427
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1008s1_1_1.png,0.8291256
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1008s1_1_2.png,0.9121268
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1009s1_1_1.png,0.7786361
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1009s1_1_2.png,0.92061436
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c100s1_1_1.png,0.83068883
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c100s1_1_2.png,0.7541593
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1010s1_1_1.png,0.97343785
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1010s1_1_2.png,0.9054465
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1010s1_1_3.png,0.8494298
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1011s1_1_1.png,0.89482784
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1011s1_1_2.png,0.8758735
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1011s1_1_3.png,0.73692214
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1012s1_1_1.png,0.9349738
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1012s1_1_2.png,0.865167
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1013s1_1_1.png,0.91377264
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1014s1_1_1.png,0.96678513
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1014s1_1_2.png,0.9290315
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1014s1_1_3.png,0.15165691
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1015s1_1_1.png,0.8386302
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1015s1_1_2.png,0.8949416
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1016s1_1_1.png,0.73860335
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1016s1_1_2.png,0.82619166
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1017s1_1_1.png,0.6625478
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1017s1_1_2.png,0.9366772
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1018s1_1_1.png,0.9475671
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1018s1_1_2.png,0.5261355
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1018s1_1_3.png,0.9107354
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1019s1_1_1.png,0.8370687
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1019s1_1_2.png,0.6646296
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1019s1_1_3.png,0.9546081
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c101s1_1_1.png,0.812876
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1020s1_1_1.png,0.8996535
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1020s1_1_2.png,0.81857234
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1021s1_1_1.png,0.6628387
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1022s1_1_1.png,0.9239739
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1022s1_1_2.png,0.86430156
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1022s1_1_3.png,0.60673845
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1023s1_1_1.png,0.9090824
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1023s1_1_2.png,0.89610815
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1024s1_1_1.png,0.86731416
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1024s1_1_2.png,0.94271183
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1024s1_1_3.png,0.90763533
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1025s1_1_1.png,0.9059686
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1025s1_1_2.png,0.97064817
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1026s1_1_1.png,0.9622633
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1026s1_1_2.png,0.82779264
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1026s1_1_3.png,0.94430625
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1027s1_1_1.png,0.75970495
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1028s1_1_1.png,0.8974197
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1028s1_1_2.png,0.88044894
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1028s1_1_3.png,0.62641025
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1029s1_1_1.png,0.9166367
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1029s1_1_2.png,0.94164956
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1029s1_1_3.png,0.9146508
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c102s1_1_1.png,0.8458649
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1030s1_1_1.png,0.84095603
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1030s1_1_2.png,0.9091927
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1031s1_1_1.png,0.84725374
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1031s1_1_2.png,0.87914014
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1032s1_1_1.png,0.94681233
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1032s1_1_2.png,0.95169264
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1033s1_1_1.png,0.8128385
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1033s1_1_2.png,0.8975022
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1034s1_1_1.png,0.91347796
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1034s1_1_2.png,0.9189454
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1034s1_1_3.png,0.7900591
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1035s1_1_1.png,0.9377961
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1035s1_1_2.png,0.9138717
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1036s1_1_1.png,0.8959361
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1036s1_1_2.png,0.91256046
