file_path,result
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c0s1_1_1.png,0.44083166
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c0s1_1_2.png,1.4647832
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c0s1_1_3.png,1.4675708
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1000s1_1_1.png,1.09524
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1000s1_1_2.png,1.555964
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1000s1_1_3.png,0.49129146
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1001s1_1_1.png,1.4077454
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1002s1_1_1.png,1.011769
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1002s1_1_2.png,0.4045288
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1003s1_1_1.png,1.1663518
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1003s1_1_2.png,1.2594546
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1004s1_1_1.png,0.78014743
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1005s1_1_1.png,1.2756879
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1005s1_1_2.png,1.45886
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1005s1_1_3.png,1.6572818
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1006s1_1_1.png,1.0878264
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1007s1_1_1.png,1.3445257
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1007s1_1_2.png,1.2610155
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1007s1_1_3.png,0.51066077
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1008s1_1_1.png,1.4735126
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1008s1_1_2.png,1.030294
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1009s1_1_1.png,0.5443532
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1009s1_1_2.png,1.3202012
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c100s1_1_1.png,0.89926314
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c100s1_1_2.png,0.28613132
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1010s1_1_1.png,1.6899598
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1010s1_1_2.png,1.4774728
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1010s1_1_3.png,1.0743006
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1011s1_1_1.png,0.88501596
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1011s1_1_2.png,0.4588
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1011s1_1_3.png,1.0006831
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1012s1_1_1.png,1.2638917
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1012s1_1_2.png,1.6292565
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1013s1_1_1.png,1.308483
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1014s1_1_1.png,1.0708768
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1014s1_1_2.png,1.3483448
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1014s1_1_3.png,0.11977105
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1015s1_1_1.png,0.7358396
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1015s1_1_2.png,1.4693521
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1016s1_1_1.png,0.7540213
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1016s1_1_2.png,0.6404641
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1017s1_1_1.png,1.4518996
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1017s1_1_2.png,0.24728474
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1018s1_1_1.png,1.3659629
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1018s1_1_2.png,0.18653816
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1018s1_1_3.png,1.6832007
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1019s1_1_1.png,1.5078624
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1019s1_1_2.png,0.9713367
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1019s1_1_3.png,0.513103
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c101s1_1_1.png,1.0850881
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1020s1_1_1.png,1.1789339
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1020s1_1_2.png,0.6990242
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1021s1_1_1.png,0.38451594
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1022s1_1_1.png,0.75477195
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1022s1_1_2.png,1.4162946
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1022s1_1_3.png,1.6036402
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1023s1_1_1.png,1.5931402
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1023s1_1_2.png,1.4672668
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1024s1_1_1.png,1.1035091
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1024s1_1_2.png,1.4945624
../RT-DETR/dataset/reid/test_old\bounding_box_test\-1_c1024s1_1_3.png,1.6347872
