file_path,result
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c0s1_1_1.png,0.24673335
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c0s1_1_2.png,0.91864544
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c0s1_1_3.png,0.881426
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1000s1_1_1.png,0.8154945
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1000s1_1_2.png,0.76687586
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1000s1_1_3.png,0.9075422
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1001s1_1_1.png,0.9079162
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1002s1_1_1.png,0.65538263
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1002s1_1_2.png,0.8480189
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1003s1_1_1.png,0.82665515
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1003s1_1_2.png,0.8536757
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1004s1_1_1.png,0.5453423
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1005s1_1_1.png,0.85234433
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1005s1_1_2.png,0.84653103
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1005s1_1_3.png,0.8307134
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1006s1_1_1.png,0.8269971
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1007s1_1_1.png,0.89921933
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1007s1_1_2.png,0.72893333
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1007s1_1_3.png,0.921987
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1008s1_1_1.png,0.78500074
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1008s1_1_2.png,0.92360306
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1009s1_1_1.png,0.6854244
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1009s1_1_2.png,0.93628055
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c100s1_1_1.png,0.7971327
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c100s1_1_2.png,0.486908
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1010s1_1_1.png,0.93540496
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1010s1_1_2.png,0.85156715
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1010s1_1_3.png,0.76549894
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1011s1_1_1.png,0.83362114
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1011s1_1_2.png,0.8556744
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1011s1_1_3.png,0.7520315
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1012s1_1_1.png,0.96907586
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1012s1_1_2.png,0.7975563
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1013s1_1_1.png,0.891499
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1014s1_1_1.png,0.9304759
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1014s1_1_2.png,0.8137104
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1014s1_1_3.png,0.46271154
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1015s1_1_1.png,0.820906
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1015s1_1_2.png,0.91571814
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1016s1_1_1.png,0.76702386
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1016s1_1_2.png,0.8314728
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1017s1_1_1.png,0.6346439
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1017s1_1_2.png,0.92188835
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1018s1_1_1.png,0.9040581
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1018s1_1_2.png,0.3508333
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1018s1_1_3.png,0.87113345
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1019s1_1_1.png,0.826996
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1019s1_1_2.png,0.49162638
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1019s1_1_3.png,0.89973915
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c101s1_1_1.png,0.82313305
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1020s1_1_1.png,0.8753315
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1020s1_1_2.png,0.7410127
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1021s1_1_1.png,0.6919157
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1022s1_1_1.png,0.8990021
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1022s1_1_2.png,0.8664571
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1022s1_1_3.png,0.8334973
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1023s1_1_1.png,0.9091256
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1023s1_1_2.png,0.9213222
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1024s1_1_1.png,0.74889433
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1024s1_1_2.png,0.8650874
../RT-DETR/dataset/reid/test_old/bounding_box_test\-1_c1024s1_1_3.png,0.89017594
