image_id,class,confidence,ymin,xmin,ymax,xmax
image_1027,0,0.5,0.5,0.5,0.5,0.5
image_1039,,,,,,
image_1287,,,,,,
image_0333,,,,,,
image_0037,,,,,,
image_0083,,,,,,
image_0250,,,,,,
image_0608,,,,,,
image_1262,,,,,,
image_0334,,,,,,
image_0181,,,,,,
image_1167,,,,,,
image_0404,,,,,,
image_0897,,,,,,
image_1257,,,,,,
image_1296,,,,,,
image_0004,,,,,,
image_0892,,,,,,
image_0822,,,,,,
image_1476,,,,,,
image_0231,,,,,,
image_1121,,,,,,
image_0520,,,,,,
image_0222,,,,,,
image_0548,,,,,,
image_1421,,,,,,
image_0884,,,,,,
image_0490,,,,,,
image_1341,,,,,,
image_0062,,,,,,
image_0837,,,,,,
image_0103,,,,,,
image_1006,,,,,,
image_1452,,,,,,
image_1205,,,,,,
image_0962,,,,,,
image_1304,,,,,,
image_0723,,,,,,
image_1308,,,,,,
image_1220,,,,,,
image_0243,,,,,,
image_1552,,,,,,
image_0119,,,,,,
image_1396,,,,,,
image_1418,,,,,,
image_0094,,,,,,
image_1200,,,,,,
image_0260,,,,,,
image_0227,,,,,,
image_1534,,,,,,
image_1033,,,,,,
image_1422,,,,,,
image_0159,,,,,,
image_0886,,,,,,
image_0808,,,,,,
image_0840,,,,,,
image_0967,,,,,,
image_0725,,,,,,
image_0011,,,,,,
image_0857,,,,,,
image_0927,,,,,,
image_0401,,,,,,
image_1089,,,,,,
image_0560,,,,,,
image_0389,,,,,,
image_0138,,,,,,
image_0359,,,,,,
image_1216,,,,,,
image_0643,,,,,,
image_0349,,,,,,
image_1152,,,,,,
image_0079,,,,,,
image_0203,,,,,,
image_1235,,,,,,
image_0755,,,,,,
image_0335,,,,,,
image_0652,,,,,,
image_1492,,,,,,
image_0255,,,,,,
image_0818,,,,,,
image_0031,,,,,,
image_0007,,,,,,
image_0736,,,,,,
image_1404,,,,,,
image_0473,,,,,,
image_1224,,,,,,
image_0561,,,,,,
image_0586,,,,,,
image_0729,,,,,,
image_1013,,,,,,
image_0697,,,,,,
image_0509,,,,,,
image_1046,,,,,,
image_0170,,,,,,
image_1107,,,,,,
image_0150,,,,,,
image_0734,,,,,,
image_0204,,,,,,
image_0699,,,,,,
image_0270,,,,,,
image_0789,,,,,,
image_0946,,,,,,
image_0010,,,,,,
image_1343,,,,,,
image_0701,,,,,,
image_0677,,,,,,
image_1223,,,,,,
image_1524,,,,,,
image_1516,,,,,,
image_0584,,,,,,
image_0440,,,,,,
image_0889,,,,,,
image_0446,,,,,,
image_1589,,,,,,
image_0277,,,,,,
image_0533,,,,,,
image_1151,,,,,,
image_0913,,,,,,
image_0513,,,,,,
image_1544,,,,,,
image_0412,,,,,,
image_0779,,,,,,
image_1309,,,,,,
image_0214,,,,,,
image_1331,,,,,,
image_0739,,,,,,
image_1176,,,,,,
image_0958,,,,,,
image_0591,,,,,,
image_1022,,,,,,
image_1198,,,,,,
image_1367,,,,,,
image_0039,,,,,,
image_0375,,,,,,
image_1523,,,,,,
image_1129,,,,,,
image_0189,,,,,,
image_0811,,,,,,
image_1094,,,,,,
image_0882,,,,,,
image_1140,,,,,,
image_0185,,,,,,
image_1208,,,,,,
image_0425,,,,,,
image_0940,,,,,,
image_0727,,,,,,
image_1402,,,,,,
image_0514,,,,,,
image_1395,,,,,,
image_1484,,,,,,
image_1109,,,,,,
image_0262,,,,,,
image_0073,,,,,,
