2023-06-12 11:12:58 | INFO     | DF | Running on torch 2.0.1+cu118
2023-06-12 11:12:58 | INFO     | DF | Running on host Desktop
2023-06-12 11:12:58 | INFO     | DF | Loading model settings of DeepFilterNet3
2023-06-12 11:12:58 | INFO     | DF | Initializing model `deepfilternet3`
2023-06-12 11:13:01 | INFO     | DF | Found checkpoint ./DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2023-06-12 11:13:01 | INFO     | DF | Running on device cuda:0
2023-06-12 11:13:01 | INFO     | DF | Model loaded
2023-06-12 11:17:38 | INFO     | DF | Running on torch 2.0.1+cu118
2023-06-12 11:17:38 | INFO     | DF | Running on host Desktop
2023-06-12 11:17:38 | INFO     | DF | Loading model settings of DeepFilterNet3
2023-06-12 11:17:38 | INFO     | DF | Initializing model `deepfilternet3`
2023-06-12 11:17:41 | INFO     | DF | Found checkpoint ./DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2023-06-12 11:17:41 | INFO     | DF | Running on device cuda:0
2023-06-12 11:17:41 | INFO     | DF | Model loaded
2023-06-12 11:21:27 | INFO     | DF | Loading model settings of DeepFilterNet3
2023-06-12 11:21:27 | INFO     | DF | Initializing model `deepfilternet3`
2023-06-12 11:21:27 | INFO     | DF | Found checkpoint ./DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2023-06-12 11:21:27 | INFO     | DF | Running on device cuda:0
2023-06-12 11:21:27 | INFO     | DF | Model loaded
2023-06-12 11:23:06 | INFO     | DF | Loading model settings of DeepFilterNet3
2023-06-12 11:23:06 | INFO     | DF | Initializing model `deepfilternet3`
2023-06-12 11:23:06 | INFO     | DF | Found checkpoint ./DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2023-06-12 11:23:06 | INFO     | DF | Running on device cuda:0
2023-06-12 11:23:06 | INFO     | DF | Model loaded
2023-06-12 11:24:10 | INFO     | DF | Loading model settings of DeepFilterNet3
2023-06-12 11:24:10 | INFO     | DF | Initializing model `deepfilternet3`
2023-06-12 11:24:10 | INFO     | DF | Found checkpoint ./DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2023-06-12 11:24:10 | INFO     | DF | Running on device cuda:0
2023-06-12 11:24:10 | INFO     | DF | Model loaded
2023-06-12 11:27:49 | INFO     | DF | Loading model settings of DeepFilterNet3
2023-06-12 11:27:49 | INFO     | DF | Initializing model `deepfilternet3`
2023-06-12 11:27:49 | INFO     | DF | Found checkpoint ./DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2023-06-12 11:27:49 | INFO     | DF | Running on device cuda:0
2023-06-12 11:27:49 | INFO     | DF | Model loaded
2023-06-12 11:29:48 | INFO     | DF | Loading model settings of DeepFilterNet3
2023-06-12 11:29:48 | INFO     | DF | Initializing model `deepfilternet3`
2023-06-12 11:29:48 | INFO     | DF | Found checkpoint ./DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2023-06-12 11:29:48 | INFO     | DF | Running on device cuda:0
2023-06-12 11:29:48 | INFO     | DF | Model loaded
2023-06-12 11:51:56 | INFO     | DF | Loading model settings of DeepFilterNet3
2023-06-12 11:51:56 | INFO     | DF | Initializing model `deepfilternet3`
2023-06-12 11:51:56 | INFO     | DF | Found checkpoint DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2023-06-12 11:51:56 | INFO     | DF | Running on device cuda:0
2023-06-12 11:51:56 | INFO     | DF | Model loaded
2023-06-12 11:52:36 | INFO     | DF | Loading model settings of DeepFilterNet3
2023-06-12 11:52:36 | INFO     | DF | Initializing model `deepfilternet3`
2023-06-12 11:52:36 | INFO     | DF | Found checkpoint DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2023-06-12 11:52:37 | INFO     | DF | Running on device cuda:0
2023-06-12 11:52:37 | INFO     | DF | Model loaded
